CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
border rejection,2013-05-08,2013.AXF,France,mercury (1.525 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam,fish and fish products,food,not serious,re-dispatch,product not (yet) placed on the market,frozen swordfish (xiphias gladius),mercury,metals,Vietnam
border rejection,2013-05-08,2013.AXH,Austria,aflatoxins (B1 = 12.75 µg/kg - ppb) in roasted pistachios from Turkey,"nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,roasted pistachios,aflatoxins,mycotoxins,Turkey
information for follow-up,2013-05-08,2013.0642,Malta,"didecyldimethylammonium chloride (DDAC) (0.03 mg/kg - ppm) in baby food with homogenised beef from Slovakia, via Italy","dietetic foods, food supplements, fortified foods",food,not serious,recall from consumers,distribution to other member countries,baby food with homogenised beef,didecyldimethylammonium chloride (ddac),pesticide residues,"Italy,Slovakia"
border rejection,2013-05-08,2013.AXB,Spain,poor temperature control ( - 11 °C) of frozen sardines from Morocco,fish and fish products,food,not serious,re-dispatch,product not (yet) placed on the market,frozen sardines,poor temperature control,poor or insufficient controls,Morocco
border rejection,2013-05-08,2013.AXC,Netherlands,Salmonella enterica (presence /25g) in frozen poultry meat preparations from Brazil,poultry meat and poultry meat products,food,undecided,re-dispatch,product not (yet) placed on the market,frozen poultry meat preparations,salmonella,pathogenic micro-organisms,Brazil
information for attention,2013-05-08,2013.0644,Denmark,Salmonella Napoli (present /25g) in radicchio lettuce from Italy,fruits and vegetables,food,serious,withdrawal from the market,product (presumably) no longer on the market,radicchio lettuce,salmonella enterica ser. napoli,pathogenic micro-organisms,Italy
border rejection,2013-05-08,2013.AXD,Netherlands,Salmonella enterica (presence /25g) in frozen poultry meat preparations from Brazil,poultry meat and poultry meat products,food,undecided,re-dispatch,product not (yet) placed on the market,frozen poultry meat preparations,salmonella,pathogenic micro-organisms,Brazil
border rejection,2013-05-08,2013.AXE,Italy,migration of manganese (0.2 mg/kg - ppm) from hand mixer from China,food contact materials,fcm,not serious,placed under customs seals,product not (yet) placed on the market,hand mixer,migration of manganese,metals,China
border rejection,2013-05-08,2013.AXK,Spain,poor temperature control (-12.1/-11.4/-10.9 °C) of frozen octopus from Morocco,cephalopods and products thereof,food,not serious,import not authorised,product not (yet) placed on the market,frozen octopus,poor temperature control,poor or insufficient controls,Morocco
border rejection,2013-05-08,2013.AXI,United Kingdom,poor temperature control - rupture of the cold chain - (defrosted) of frozen fish from Nicaragua,fish and fish products,food,serious,import not authorised,product not (yet) placed on the market,frozen fish,poor temperature control - rupture of the cold chain -,poor or insufficient controls,Nicaragua
information for attention,2013-05-08,2013.0646,Poland,"Salmonella enteritidis (present /25g) in chilled and frozen poultry meat from Poland, with raw material from Slovakia",poultry meat and poultry meat products,food,serious,withdrawal from the market,distribution restricted to notifying country,chilled and frozen poultry meat,salmonella enterica ser. enteritidis,pathogenic micro-organisms,"Poland,Slovakia"
information for follow-up,2013-05-08,2013.0643,Spain,adulteration (> 1 horse DNA %) of ravioli with eggs and meat from France,prepared dishes and snacks,food,not serious,informing recipient(s),information on distribution not (yet) available,ravioli with eggs and meat,adulteration,adulteration / fraud,France
border rejection,2013-05-08,2013.AXA,Spain,poor temperature control (lower than -12 °C) of frozen squid from Argentina,cephalopods and products thereof,food,not serious,re-dispatch,product not (yet) placed on the market,frozen squid,poor temperature control,poor or insufficient controls,Argentina
information for attention,2013-05-08,2013.0639,Netherlands,"unauthorised substance carbendazim (0.80 mg/kg - ppm) in carambola from Malaysia, via Denmark",fruits and vegetables,food,serious,no action taken,product (presumably) no longer on the market,carambola,unauthorised substance carbendazim,pesticide residues,"Denmark,Malaysia"
information for attention,2013-05-08,2013.0640,Belgium,undeclared milk ingredient (presence) in salty biscuits from Turkey,cereals and bakery products,food,serious,withdrawal from the market,distribution restricted to notifying country,salty biscuits,milk ingredient undeclared,allergens,Turkey
information for attention,2013-05-07,2013.0630,Italy,Salmonella enterica (presence /25g) in cotton seeds (Gossypium hirsutum) from Ghana,feed materials,feed,not serious, ,distribution restricted to notifying country,cotton seeds (gossypium hirsutum),salmonella,pathogenic micro-organisms,Ghana
information for attention,2013-05-07,2013.0632,Germany,migration of primary aromatic amines (2-Methoxyanaline: 17.6 µg/l) from paper printed napkins from China,food contact materials,fcm,serious,withdrawal from the market,product (presumably) no longer on the market,paper printed napkins,migration of primary aromatic amines,migration,China
border rejection,2013-05-07,2013.AWT,France,"bifenthrin (2.3 mg/kg - ppm), acetamiprid (10.3 mg/kg - ppm) and imidacloprid (0.06 mg/kg - ppm) and unauthorised substances profenofos (24.1 mg/kg - ppm), ethion (0.43 mg/kg - ppm) and propargite (0.3 mg/kg - ppm) in fresh curry leaves from India",herbs and spices,food,undecided,destruction,product not (yet) placed on the market,fresh curry leaves,"acetamiprid,bifenthrin,imidacloprid,unauthorised substance ethion,unauthorised substance profenofos,unauthorised substance propargite","pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues",India
border rejection,2013-05-07,2013.AWU,France,"acetamiprid (0.076 mg/kg - ppm), lambda-cyhalothrin (0.13 mg/kg - ppm), imidacloprid (10.16 mg/kg - ppm) and spiromesifen (0.59 mg/kg - ppm) and unauthorised substance triazophos (0.013 mg/kg - ppm) in fresh curry leaves from India",herbs and spices,food,undecided,destruction,product not (yet) placed on the market,fresh curry leaves,"acetamiprid,imidacloprid,lambda-cyhalothrin,spiromesifen,unauthorised substance triazophos","pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues",India
border rejection,2013-05-07,2013.AWX,Italy,"migration of chromium (105.7 mg/kg - ppm), of nickel (0.3 mg/kg - ppm) and of manganese (160.3 mg/kg - ppm) from kitchen sieve from China",food contact materials,fcm,not serious,re-dispatch,product not (yet) placed on the market,kitchen sieve,"migration of chromium,migration of manganese,migration of nickel","metals,metals,metals",China
border rejection,2013-05-07,2013.AWQ,Finland,migration of nickel (8.4 mg/dm²) from grill skewer from China,food contact materials,fcm,not serious,placed under customs seals,product not (yet) placed on the market,grill skewer,migration of nickel,metals,China
alert,2013-05-07,2013.0635,United Kingdom,"undeclared milk ingredient in sauce from the United Kingdom, manufactured in Poland","soups, broths, sauces and condiments",food,serious,withdrawal from the market,distribution to other member countries,sauce,milk ingredient undeclared,allergens,"Poland,United Kingdom"
border rejection,2013-05-07,2013.AWZ,Finland,migration of cadmium (0.22 mg/dm²) and of lead (1.3 mg/dm²) from salad bowls from China,food contact materials,fcm,undecided,placed under customs seals,product not (yet) placed on the market,salad bowls,"migration of cadmium,migration of lead","metals,metals",China
border rejection,2013-05-07,2013.AWW,Italy,migration of nickel (0.5 mg/kg - ppm) from electric oven from China,food contact materials,fcm,not serious,re-dispatch,product not (yet) placed on the market,electric oven,migration of nickel,metals,China
information for attention,2013-05-07,2013.AWV,Netherlands,shigatoxin-producing Escherichia coli (presence in 3 samples) in chilled boneless beef (Bos taurus) from Brazil,meat and meat products (other than poultry),food,serious,import not authorised,product (presumably) no longer on the market,chilled boneless beef (bos taurus),shigatoxin-producing escherichia coli,microbial contaminants (other),Brazil
information for attention,2013-05-07,2013.0636,Sweden,unauthorised placing on the market (fish could contain too high levels of dioxins) of chilled wild caught salmon (Salmo salar) from Sweden,fish and fish products,food,serious, ,product (presumably) no longer on the market,chilled wild caught salmon (salmo salar),unauthorised placing on the market,composition,Sweden
information for attention,2013-05-07,2013.0633,France,penicillium (fungus: 1400 CFU/g) in chilled white cheese with vanilla from France,milk and milk products,food,not serious,recall from consumers,product (presumably) no longer on the market,chilled white cheese with vanilla,penicillium,microbial contaminants (other),France
border rejection,2013-05-07,2013.AWS,Denmark,norovirus (present /25g) in frozen strawberries from China,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,frozen strawberries,norovirus,pathogenic micro-organisms,China
information for attention,2013-05-07,2013.0631,Germany,adulteration (horse DNA: > 1 %) of pork rind from Germany,meat and meat products (other than poultry),food,not serious,destruction,distribution restricted to notifying country,pork rind,adulteration,adulteration / fraud,Germany
border rejection,2013-05-07,2013.AWR,Lithuania,irradiation in an unauthorised facility of food supplement from Russia,"dietetic foods, food supplements, fortified foods",food,not serious,destruction,product not (yet) placed on the market,food supplement,irradiation in an unauthorised facility,radiation,Russia
border rejection,2013-05-07,2013.AWY,France,unauthorised substance diafenthiuron (0.15 mg/kg - ppm) in green tea from China,"cocoa and cocoa preparations, coffee and tea",food,not serious,re-dispatch,product not (yet) placed on the market,green tea,unauthorised substance diafenthiuron,pesticide residues,China
information for attention,2013-05-07,2013.0634,France,"acetamiprid (0.1 mg/kg - ppm), thiophanate-methyl (0.016 mg/kg - ppm), lambda-cyhalothrin (0.1 mg/kg - ppm) and indoxacarb (0.021 mg/kg - ppm) and unauthorised substances carbofuran (0.1 mg/kg - ppm), methamidophos (0.72 mg/kg - ppm), acephate (0.63 mg/kg - ppm), profenofos (0.098 mg/kg - ppm), ethion (0.56), hexaconazole (0.01 mg/kg - ppm) and triazophos (0.11 mg/kg - ppm) in chilli peppers from India",fruits and vegetables,food,serious,no action taken,information on distribution not (yet) available,chilli peppers,"acetamiprid,indoxacarb,lambda-cyhalothrin,thiophanate-methyl,unauthorised substance acephate,unauthorised substance carbofuran,unauthorised substance ethion,unauthorised substance hexaconazole,unauthorised substance methamidophos,unauthorised substance profenofos,unauthorised substance triazophos","pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues",India
border rejection,2013-05-06,2013.AWP,Italy,"Enterococcus (11000 CFU/g) and Bacillus cereus (2100 CFU/g) in ground coconut from Indonesia, via Malaysia","nuts, nut products and seeds",food,not serious,placed under customs seals,product not (yet) placed on the market,ground coconut,"bacillus cereus,enterococcus","pathogenic micro-organisms,microbial contaminants (other)","Indonesia,Malaysia"
